"Index","Open","High","Low","Close","Volume"
2057-08-13,741.6,751.5,741.6,749.25,22311
2057-08-14,751.5,756,738,738.36,57636
2057-08-15,738.9,745.2,737.55,744.75,36099
2057-08-16,744.3,746.55,741.6,742.14,24948
2057-08-17,752.85,761.4,752.85,760.5,83187
2057-08-18,760.95,765,756,758.88,51669
2057-08-19,756.9,764.1,756.45,761.04,42678
2057-08-20,767.25,780.75,767.25,777.78,122607
2057-08-21,792,794.25,777.78,789.66,124947
2057-08-22,789.3,795.6,786.15,787.5,98235
2057-08-23,788.4,799.2,784.8,792.45,77427
2057-08-24,781.65,791.1,781.65,783.72,52182
2057-08-25,778.95,780.75,768.15,771.21,76527
2057-08-26,769.5,777.6,769.5,774,37071
2057-08-27,774.9,776.25,767.7,770.4,28953
2057-08-28,768.6,783,766.08,772.74,37206
2057-08-29,767.7,771.3,756,756.9,80316
2057-08-30,758.7,766.8,753.75,759.87,36855
2057-08-31,767.7,774,761.85,770.4,41742
2057-09-01,769.05,774,767.7,768.42,31293
2057-09-02,762.3,765,757.35,758.97,31023
2057-09-03,756,761.85,750.6,760.5,39123
2057-09-04,761.85,763.65,756.45,760.59,17838
2057-09-05,765.9,773.1,758.7,760.68,18495
2057-09-06,761.4,765,756,764.82,28215
2057-09-07,765,766.35,760.5,763.92,36243
2057-09-08,760.5,761.4,750.69,751.05,54090
2057-09-09,745.65,747.9,738,739.17,53514
2057-09-10,738,749.7,734.85,746.55,12645
2057-09-11,746.55,754.2,745.2,750.78,7884
2057-09-12,748.8,752.4,741.87,741.87,3906
2057-09-13,740.7,744.3,738.9,743.4,1260
2057-09-14,743.4,751.05,738.9,738.9,1575
2057-09-15,739.8,746.55,735.75,735.93,1089
2057-09-16,741.6,742.5,733.32,733.32,1188
2057-09-17,736.2,738.45,730.8,730.8,216
2057-09-18,736.65,741.6,733.5,741.33,900
2057-09-19,741.15,744.75,735.3,738.09,900
2057-09-20,753.3,758.25,751.95,753.39,23400
2057-09-21,755.1,756,749.43,749.97,18153
2057-09-22,752.85,754.2,746.1,746.46,33309
2057-09-23,745.2,752.85,744.75,750.6,33804
2057-09-24,754.2,768.15,753.75,766.8,64701
2057-09-25,764.55,765.18,757.8,758.61,32364
2057-09-26,762.3,764.1,759.6,761.76,29061
2057-09-27,762.75,763.56,754.65,755.1,31995
2057-09-28,764.1,766.35,755.82,758.25,44973
2057-09-29,761.4,763.65,756.9,762.21,41508
2057-09-30,760.95,765.9,758.52,765.45,23400
2057-10-01,765.45,766.35,760.95,761.31,21915
2057-10-02,756,760.68,752.4,754.56,52614
2057-10-03,755.55,759.6,752.4,754.74,25614
2057-10-04,749.25,754.2,747.45,752.04,36747
2057-10-05,751.5,765,751.5,763.02,49203
2057-10-06,760.05,764.1,758.25,763.74,26208
2057-10-07,762.75,772.83,762.75,772.2,59373
2057-10-08,774.9,795.6,774.9,787.95,99315
2057-10-09,786.15,794.7,782.1,784.98,50157
2057-10-10,784.8,786.6,780.75,782.1,36882
2057-10-11,783,798.3,783,786.33,57204
2057-10-12,791.1,794.7,776.25,780.75,41580
2057-10-13,776.25,781.2,772.83,773.91,42318
2057-10-14,774.36,780.75,754.2,755.01,61056
2057-10-15,754.2,756.9,746.01,748.53,59463
2057-10-16,747.18,754.65,747.18,751.05,37593
2057-10-17,750.6,759.6,750.6,758.88,13599
2057-10-18,759.15,760.5,754.65,758.07,25578
2057-10-19,756.45,764.1,751.5,755.37,31167
2057-10-20,756,758.7,743.13,744.21,55575
2057-10-21,743.4,753.3,743.4,743.4,8946
2057-10-22,759.6,765,750.15,750.15,5103
2057-10-23,758.25,758.25,751.5,757.8,1017
2057-10-24,751.5,756,744.3,744.3,1026
2057-10-25,740.7,747,740.7,747,882
2057-10-26,751.05,764.55,751.05,764.55,657
2057-10-27,787.05,787.5,771.3,772.11,1431
2057-10-28,767.7,767.7,763.65,763.65,153
2057-10-29,766.35,766.35,764.1,765.9,54
2057-10-30,765,774,760.5,765,513
2057-10-31,768.6,768.6,757.8,759.6,513
2057-11-01,767.25,774.54,767.25,768.96,53361
2057-11-02,766.44,768.6,741.96,744.75,156267
2057-11-03,743.85,751.5,742.5,746.37,43056
2057-11-04,743.4,747.9,739.8,745.83,65583
2057-11-05,747.36,748.8,741.78,742.5,36765
2057-11-06,738,740.7,728.55,729.54,76176
2057-11-07,732.6,737.55,724.95,730.8,58842
2057-11-08,732.15,733.05,726.75,727.92,27765
2057-11-09,729.9,734.85,728.64,733.68,31572
2057-11-10,731.79,735.66,731.07,734.31,19998
2057-11-11,734.85,748.8,734.85,742.95,55287
2057-11-12,725.4,735.3,725.4,731.7,34875
2057-11-13,730.35,732.6,715.5,716.58,47610
2057-11-14,711.9,715.41,697.95,705.6,70155
2057-11-15,710.1,714.15,708.84,713.52,20745
2057-11-16,714.6,723.15,712.8,722.88,35028
2057-11-17,723.6,744.3,723.6,732.51,81837
2057-11-18,733.68,735.3,721.35,724.95,36243
2057-11-19,728.1,729.9,722.7,724.86,18954
2057-11-20,722.7,738.45,722.7,737.55,42318
2057-11-21,739.8,743.76,734.4,735.48,27963
2057-11-22,734.4,735.48,715.5,720.27,57186
2057-11-23,720.27,722.7,714.6,719.64,38493
2057-11-24,719.1,720,693,693.63,71433
2057-11-25,695.7,702,675.9,686.61,76356
2057-11-26,688.5,706.5,688.5,701.37,46377
2057-11-27,704.25,711,693,703.62,66204
2057-11-28,693,701.55,682.2,688.5,45909
2057-11-29,684,688.5,667.8,671.67,53073
2057-11-30,659.25,665.1,654.12,656.55,55080
2057-12-01,660.6,666.9,658.8,659.25,6822
2057-12-02,661.5,664.2,621,645.75,10944
2057-12-03,653.85,657,628.2,647.1,6453
2057-12-04,652.05,652.05,639,641.52,342
2057-12-05,657,661.05,634.5,635.85,1413
2057-12-06,635.85,636.3,623.25,632.7,936
2057-12-07,638.55,638.55,630,630,666
2057-12-08,631.8,631.8,625.5,630.45,927
2057-12-09,646.56,647.46,630,635.4,747
2057-12-10,638.55,647.82,636.3,647.82,747
2057-12-11,656.1,658.35,648,648.72,8442
2057-12-12,648.9,658.35,641.25,654.39,10377
2057-12-13,650.25,661.5,649.8,659.52,6651
2057-12-14,648,657.9,648,650.7,6066
2057-12-15,650.25,655.65,646.2,655.2,5679
2057-12-16,650.7,654.75,649.8,652.05,4302
2057-12-17,654.75,657,648.45,654.75,6165
2057-12-18,657.9,667.8,657.9,661.68,12762
2057-12-19,666.9,668.7,653.4,653.85,10395
2057-12-20,651.6,654.75,648.9,653.85,5463
2057-12-21,656.1,657.9,647.55,647.73,7614
2057-12-22,647.55,649.8,643.5,648.63,7200
2057-12-23,650.7,652.95,644.4,645.3,4392
2057-12-24,642.15,659.7,641.88,654.57,12006
2057-12-25,660.6,661.5,657,658.8,4023
2057-12-26,657.9,663.3,649.35,652.32,9108
2057-12-27,649.8,655.2,648.45,650.61,7110
2057-12-28,648.45,656.1,648.45,652.77,3573
2057-12-29,650.34,653.85,648.54,648.72,3951
2057-12-30,645.3,645.3,621.72,630,20394
2057-12-31,629.55,634.5,629.55,632.7,5958
2058-01-01,632.7,637.65,631.35,632.25,6417
2058-01-02,657.9,659.25,649.8,659.25,12231
