"Index","Open","High","Low","Close","Volume"
2057-08-13,205.4,206,197.4,197.9,12258
2057-08-14,195.5,210.5,195.5,207.8,19838
2057-08-15,206.1,211,206.1,208.6,13010
2057-08-16,207.6,214.5,204.5,210.8,16712
2057-08-17,210,214.5,207.2,209.3,11422
2057-08-18,209.3,215.6,208.5,215,12644
2057-08-19,214.5,218.8,213.2,214,13816
2057-08-20,213,218.4,211.6,217.8,13338
2057-08-21,220.6,223.8,219.2,223.5,11832
2057-08-22,220,235,219.4,233.9,19466
2057-08-23,233.9,247.8,233.9,246.9,17464
2057-08-24,244.4,246,238,239.1,13864
2057-08-25,240,263,240,257.2,22792
2057-08-26,256,258.5,251.6,252.8,10398
2057-08-27,254,261.5,242,247.5,17178
2057-08-28,248,249.5,239.5,241.3,8498
2057-08-29,244.5,255,237.5,238.8,13018
2057-08-30,236,239.9,233.2,237.2,10304
2057-08-31,240.5,249.8,240.5,247.4,9562
2057-09-01,249,254.4,249,252.1,8748
2057-09-02,253,259.7,242.2,243.2,14082
2057-09-03,243,251,240.8,245.6,7910
2057-09-04,243.2,249.4,243.6,245.3,6766
2057-09-05,243.7,252,243.7,248.6,8784
2057-09-06,247.8,250,245.5,248.4,7480
2057-09-07,245.6,249,243.2,245.3,8864
2057-09-08,245.6,252,242.4,249.7,3010
2057-09-09,250,252,248,248.4,1506
2057-09-10,247.9,249,234.5,235.2,2616
2057-09-11,234,237.8,230.8,231.4,2028
2057-09-12,230.5,234.2,229.4,232.6,1238
2057-09-13,233.5,234.4,228.5,229.2,688
2057-09-14,227.2,236.8,227.6,235.6,732
2057-09-15,234.5,236,227,227,716
2057-09-16,229,230.5,228.9,229,146
2057-09-17,229,234.8,227.7,233.8,298
2057-09-18,234.5,234.5,230.8,231.6,284
2057-09-19,232.8,235.5,232,232.2,224
2057-09-20,232.5,232.5,228.8,229.6,196
2057-09-21,232.6,235.2,232.6,233.5,246
2057-09-22,234.5,241,233,240,190
2057-09-23,238.2,243,237,237.7,376
2057-09-24,240,245,240,243.4,244
2057-09-25,247.5,249.2,244,249.5,424
2057-09-26,251,255,251,254.4,338
2057-09-27,254,255,249,249,232
2057-09-28,235.8,240.8,234.8,240,9494
2057-09-29,240.5,243.6,238.8,239.4,9772
