"Index","Open","High","Low","Close","Volume"
2057-08-13,19228,19230,19166,19184,18360
2057-08-14,19068,19108,19044,19074,41498
2057-08-15,19120,19172,19066,19126,46558
2057-08-16,19158,19200,19074,19100,31308
2057-08-17,19130,19150,19092,19138,26998
2057-08-18,19024,19100,19012,19062,31784
2057-08-19,19090,19102,19014,19038,23272
2057-08-20,18866,18904,18800,18826,44644
2057-08-21,18874,18950,18814,18840,45802
2057-08-22,18934,18950,18854,18878,23796
2057-08-23,18900,18922,18844,18852,18836
2057-08-24,18798,18804,18744,18774,39360
2057-08-25,18806,18854,18780,18804,25940
2057-08-26,18814,18840,18770,18834,29240
2057-08-27,18890,18926,18812,18896,30304
2057-08-28,19120,19196,19106,19150,71006
2057-08-29,19096,19120,19046,19114,31632
2057-08-30,18964,19000,18928,18986,33002
2057-08-31,18850,18850,18776,18788,39168
2057-09-01,18846,18856,18740,18772,37524
2057-09-02,18822,18870,18770,18816,35810
2057-09-03,18802,18830,18776,18806,14754
2057-09-04,18824,18934,18796,18912,30656
2057-09-05,18988,19024,18892,19004,46292
2057-09-06,19064,19160,19020,19054,44948
2057-09-07,18986,19008,18894,18982,47516
2057-09-08,19018,19146,19018,19140,41424
2057-09-09,19106,19176,19056,19096,36814
2057-09-10,19094,19186,19074,19146,30660
2057-09-11,19244,19270,19216,19238,39298
2057-09-12,19310,19322,19130,19220,47692
2057-09-13,19214,19240,19170,19178,34098
2057-09-14,19120,19120,19026,19050,38498
2057-09-15,18964,19024,18960,19008,40782
2057-09-16,19074,19102,19054,19062,29558
2057-09-17,19080,19086,19030,19036,21012
2057-09-18,19018,19050,19000,19004,23976
2057-09-19,19000,19036,18978,19018,20838
2057-09-20,18960,18992,18860,18886,50822
2057-09-21,19040,19074,18980,18986,50156
2057-09-22,18918,19026,18906,19022,25932
2057-09-23,19006,19040,18988,19036,22014
2057-09-24,19012,19012,18958,18962,10924
2057-09-25,18944,18954,18876,18902,14692
2057-09-26,18884,18884,18842,18844,7550
2057-09-27,19026,19072,19012,19056,24068
2057-09-28,18956,19000,18940,18946,29652
2057-09-29,18928,18966,18902,18924,31774
2057-09-30,19030,19084,19016,19044,40640
2057-10-01,19056,19062,18976,18982,20098
2057-10-02,18958,18990,18938,18978,21996
2057-10-03,18990,19060,18982,19030,26138
2057-10-04,18980,19054,18836,18852,72638
2057-10-05,18800,18820,18776,18788,40110
2057-10-06,18842,18846,18772,18780,22878
2057-10-07,18900,18950,18862,18906,55016
2057-10-08,18862,18892,18850,18870,18696
2057-10-09,18816,18838,18758,18760,28438
2057-10-10,18650,18678,18628,18644,43182
2057-10-11,18624,18654,18580,18622,41974
2057-10-12,18550,18634,18546,18608,29756
2057-10-13,18582,18596,18550,18588,20002
2057-10-14,18602,18634,18576,18582,25274
2057-10-15,18632,18668,18624,18638,26144
2057-10-16,18628,18656,18612,18624,16010
2057-10-17,18716,18980,18704,18896,92472
2057-10-18,18870,18874,18784,18788,33730
2057-10-19,18890,18936,18874,18896,27704
2057-10-20,18908,18958,18880,18892,26564
2057-10-21,18844,18906,18834,18902,18494
2057-10-22,18848,18922,18830,18878,26160
2057-10-23,18960,19144,18930,19066,61968
2057-10-24,19270,19342,19198,19216,81180
2057-10-25,19286,19296,19156,19166,45552
2057-10-26,19102,19168,19096,19102,27560
2057-10-27,19150,19276,19134,19266,43812
2057-10-28,19228,19282,19100,19136,38334
2057-10-29,19140,19216,19138,19178,29498
2057-10-30,19150,19174,19130,19138,18606
2057-10-31,19052,19136,19036,19098,32016
2057-11-01,19202,19212,19148,19192,18982
2057-11-02,19174,19186,19042,19058,31142
2057-11-03,19128,19176,19112,19130,26268
2057-11-04,19078,19096,18946,18962,46642
2057-11-05,18830,18852,18780,18784,66964
2057-11-06,18814,18856,18804,18814,26670
2057-11-07,18812,18858,18744,18802,35244
2057-11-08,18718,18764,18686,18750,32722
2057-11-09,18750,18778,18728,18746,15732
2057-11-10,18792,18804,18758,18762,18048
2057-11-11,18614,18650,18582,18588,31282
2057-11-12,18456,18496,18410,18416,80256
2057-11-13,18418,18540,18418,18538,46246
2057-11-14,18780,18780,18600,18606,68546
2057-11-15,18488,18596,18488,18532,42084
2057-11-16,18576,18580,18470,18478,28730
2057-11-17,18402,18450,18320,18408,52532
2057-11-18,18426,18434,18370,18382,24652
2057-11-19,18378,18410,18322,18334,26014
2057-11-20,18410,18434,18308,18328,60268
2057-11-21,18328,18384,18316,18358,83140
2057-11-22,18294,18314,18242,18272,35340
2057-11-23,18310,18352,18278,18346,16720
2057-11-24,18330,18444,18312,18388,12738
2057-11-25,18506,18528,18324,18330,22054
2057-11-26,18370,18384,18332,18368,7666
2057-11-27,18778,18814,18720,18802,77046
2057-11-28,18706,18800,18696,18758,50870
2057-11-29,18750,18776,18688,18712,28192
2057-11-30,18580,18594,18526,18542,40584
2057-12-01,18564,18584,18544,18572,22052
2057-12-02,18536,18570,18528,18562,13286
2057-12-03,18472,18508,18436,18482,28812
2057-12-04,18540,18556,18468,18526,27226
2057-12-05,18408,18500,18382,18442,33492
2057-12-06,18440,18456,18430,18444,14846
2057-12-07,18374,18388,18304,18308,39706
2057-12-08,18266,18332,18262,18294,56404
2057-12-09,18206,18242,18200,18228,33984
2057-12-10,18268,18340,18248,18312,30012
2057-12-11,18344,18350,18306,18318,18158
2057-12-12,18286,18332,18284,18302,23326
2057-12-13,18320,18328,18190,18202,34166
2057-12-14,18240,18304,18240,18292,24022
2057-12-15,18400,18650,18384,18464,94032
2057-12-16,18498,18572,18462,18558,41926
2057-12-17,18558,18700,18530,18584,52542
2057-12-18,18594,18690,18588,18662,31170
2057-12-19,18734,18738,18634,18680,45416
2057-12-20,18686,18698,18578,18582,32494
2057-12-21,18684,18684,18558,18592,36590
2057-12-22,18544,18612,18524,18586,28682
2057-12-23,18566,18630,18564,18622,17054
2057-12-24,18670,18674,18600,18646,37212
2057-12-25,18850,18930,18810,18874,106564
2057-12-26,18790,18868,18764,18782,58928
2057-12-27,18806,18856,18742,18828,36214
2057-12-28,18826,18896,18822,18864,28086
2057-12-29,18792,18854,18776,18828,22144
2057-12-30,18702,18708,18620,18624,50288
2057-12-31,18618,18620,18554,18568,33384
